                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44                                       45                                       46                                       47                                       48 
                            model_number                                num_zones                             initial_mass                                initial_z                                 star_age                                time_step                                 M_center                                 R_center                                     Teff                            photosphere_L                            photosphere_r                               center_eta                                center_h1                               center_he3                               center_he4                               center_c12                               center_n14                               center_o16                              center_ne20                                star_mass                                star_mdot                             star_mass_h1                            star_mass_he3                            star_mass_he4                            star_mass_c12                            star_mass_n14                            star_mass_o16                           star_mass_ne20                             he_core_mass                              c_core_mass                              o_core_mass                             si_core_mass                             fe_core_mass                   neutron_rich_core_mass                               tau10_mass                             tau10_radius                              tau100_mass                            tau100_radius                             dynamic_time                             kh_timescale                            nuc_timescale                           power_nuc_burn                             power_h_burn                            power_he_burn                                power_neu                                burn_min1                                burn_min2                             time_seconds 
                                     850                                      471                  1.0000000000000000E+000                  2.0000000000000000E-002                  2.1228509281460960E+009                  1.9160853547599774E+007                  5.9103000000000007E+028                  1.1674117094152498E+009                  5.4739751488616525E+002                  3.5216869541685436E-008                  2.0894335690395602E-002                 -1.9999994844977206E+001                  1.0000000000000000E+000                  2.7047020327560185E-023                  5.7468054109685099E-064                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.9822474498004778E-005                 -7.2499093605237030E-018                  1.1052999770314810E-007                  1.7610912228792154E-030                  2.6107250722007691E-071                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.9822443622051586E-005                  2.0723594096545873E-002                  5.5373832837927857E+003                  2.8371844726082601E+007                  8.4682355036425293E+012                  3.2343813469630156E-027                  3.2343813469630156E-027                  0.0000000000000000E+000                  1.2941197664644025E-028                  5.0000000000000000E+001                  1.0000000000000000E+003                  6.6993247984108104E+016 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11 
                                    zone                              temperature                               luminosity                                      tau                                  extra_L                                 pressure                                radius_cm                             scale_height                                  opacity                              log_opacity                                 conv_vel 
                                       1                  1.4592364390060932E+003                  3.5216869541685436E-008                  6.6666666666666657E+001                  2.2838948739963176E-012                  9.7655943209251612E+006                  1.4542039753801532E+009                  4.6239367593793140E-004                  1.2781621588573790E-002                 -1.8934140442766676E+000                  0.0000000000000000E+000 
                                       2                  1.4592364396238095E+003                  3.5216853274216170E-008                  6.6666666719542107E+001                  2.2838948739963176E-012                  9.7655943376261946E+006                  1.4542039753546312E+009                  4.6239367596723853E-004                  1.2781621590062029E-002                 -1.8934140442261003E+000                  0.0000000000000000E+000 
                                       3                  1.4592364416112393E+003                  3.5216799388224239E-008                  6.6666666894692028E+001                  2.2838948739963176E-012                  9.7655943913599178E+006                  1.4542039752700837E+009                  4.6239367621515599E-004                  1.2781621594850282E-002                 -1.8934140440634046E+000                  0.0000000000000000E+000 
                                       4                  1.4592364474392130E+003                  3.5216627563080154E-008                  6.6666667453188936E+001                  2.2838948739963176E-012                  9.7655945489304643E+006                  1.4542039750004816E+009                  4.6239367700567577E-004                  1.2781621608892376E-002                 -1.8934140435862818E+000                  0.0000000000000000E+000 
                                       5                  1.4592364663809851E+003                  3.5216137505568611E-008                  6.6666669046061784E+001                  2.2838948739963176E-012                  9.7655950610649437E+006                  1.4542039742315657E+009                  4.6239367926027185E-004                  1.2781621654537587E-002                 -1.8934140420353469E+000                  0.0000000000000000E+000 
                                       6                  1.4592365035700948E+003                  3.5214476317359766E-008                  6.6666674445553781E+001                  2.2838948739963176E-012                  9.7655960666057914E+006                  1.4542039716250956E+009                  4.6239368690256826E-004                  1.2781621744198316E-002                 -1.8934140389888510E+000                  0.0000000000000000E+000 
                                       7                  1.4592365486928024E+003                  3.5211913682592479E-008                  6.6666682775089228E+001                  2.2838948739963176E-012                  9.7655972867487371E+006                  1.4542039676042285E+009                  4.6239369869111903E-004                  1.2781621853068064E-002                 -1.8934140352896700E+000                  0.0000000000000000E+000 
                                       8                  1.4592366105546739E+003                  3.5209351047825191E-008                  6.6666691104624789E+001                  2.2838948739963176E-012                  9.7655989596498702E+006                  1.4542039635833561E+009                  4.6239371047862647E-004                  1.2781622002437274E-002                 -1.8934140302143967E+000                  0.0000000000000000E+000 
                                       9                  1.4592367467604847E+003                  3.5204886580684608E-008                  6.6666705615837614E+001                  2.2838948739963176E-012                  9.7656026434663460E+006                  1.4542039565784347E+009                  4.6239373101162392E-004                  1.2781622331744600E-002                 -1.8934140190251789E+000                  0.0000000000000000E+000 
                                      10                  1.4592369884611041E+003                  3.5193876998957873E-008                  6.6666741401158760E+001                  2.2838948739963176E-012                  9.7656091825381164E+006                  1.4542039393039680E+009                  4.6239378163344359E-004                  1.2781622917989009E-002                 -1.8934139991057430E+000                  0.0000000000000000E+000 
                                      11                  1.4592373523035601E+003                  3.5177418895289770E-008                  6.6666794896249158E+001                  2.2838948739963176E-012                  9.7656190306980554E+006                  1.4542039134805744E+009                  4.6239385727165521E-004                  1.2781623804724694E-002                 -1.8934139689762044E+000                  0.0000000000000000E+000 
                                      12                  1.4592379152731946E+003                  3.5152509332981300E-008                  6.6666875861800605E+001                  2.2838948739963176E-012                  9.7656342794634141E+006                  1.4542038743965509E+009                  4.6239397166951673E-004                  1.2781625186694758E-002                 -1.8934139220195776E+000                  0.0000000000000000E+000 
                                      13                  1.4592388725937121E+003                  3.5113365735068002E-008                  6.6667003093404006E+001                  2.2838948739963176E-012                  9.7656602386755347E+006                  1.4542038129788697E+009                  4.6239415123906633E-004                  1.2781627563309427E-002                 -1.8934138412668935E+000                  0.0000000000000000E+000 
                                      14                  1.4592406186130681E+003                  3.5043466453080003E-008                  6.6667230292764756E+001                  2.2838948739963176E-012                  9.7657076792113166E+006                  1.4542037033046396E+009                  4.6239447129551057E-004                  1.2781631984813763E-002                 -1.8934136910329273E+000                  0.0000000000000000E+000 
                                      15                  1.4592438004091953E+003                  3.4914089614306221E-008                  6.6667650817135225E+001                  2.2838948739963176E-012                  9.7657944514973648E+006                  1.4542035003089025E+009                  4.6239506164790477E-004                  1.2781640336889642E-002                 -1.8934134072460616E+000                  0.0000000000000000E+000 
                                      16                  1.4592490840448202E+003                  3.4678975736148464E-008                  6.6668415028257002E+001                  2.2838948739963176E-012                  9.7659395220571086E+006                  1.4542031314112296E+009                  4.6239612769763324E-004                  1.2781655104543301E-002                 -1.8934129054711233E+000                  0.0000000000000000E+000 
                                      17                  1.4592569754796198E+003                  3.4304715111651344E-008                  6.6669631522376477E+001                  2.2838948739963176E-012                  9.7661585603089705E+006                  1.4542025441961498E+009                  4.6239780660522974E-004                  1.2781679334092577E-002                 -1.8934120822014067E+000                  0.0000000000000000E+000 
                                      18                  1.4592701729851653E+003                  3.3758898565070455E-008                  6.6671405645790983E+001                  2.2838948739963176E-012                  9.7665308051202502E+006                  1.4542016878234560E+009                  4.6240021534337325E-004                  1.2781725301047519E-002                 -1.8934105203441216E+000                  0.0000000000000000E+000 
                                      19                  1.4592978704595455E+003                  3.2741092578657048E-008                  6.6674713942293565E+001                  2.2838948739963176E-012                  9.7673363411080614E+006                  1.4542000909546611E+009                  4.6240458106098413E-004                  1.2781844096101874E-002                 -1.8934064839722220E+000                  0.0000000000000000E+000 
                                      20                  1.4593584841716774E+003                  3.0375241758882380E-008                  6.6682404049656029E+001                  2.2838948739963176E-012                  9.7692366128291171E+006                  1.4541963793165231E+009                  4.6241409555498040E-004                  1.2782230126664679E-002                 -1.8933933678357389E+000                  0.0000000000000000E+000 
